model_class,model,scaling,mae_mean,rmse_mean,smape_mean,mase_mean,sample_size,horizon,seed
baseline,AutoETS,none,451.56770538716523,543.2845883889769,11.092990600479789,0.8448734913646802,100,18,42
baseline,AutoETS,quantile,494.48909507251744,592.5038207921802,12.140794909374147,0.9215550467197019,100,18,42
baseline,AutoETS,robust,445.81699186650417,536.0714002558394,10.837660325050983,0.851842834430314,100,18,42
baseline,AutoETS,standard,444.5746537991265,536.1208020558884,10.786506281516829,0.8521141974068372,100,18,42
baseline,AutoTheta,none,503.81177082666005,592.8032914487335,13.823806794036011,0.9110131419068144,100,18,42
baseline,AutoTheta,quantile,490.16238651468274,590.9624882452864,11.930446577683835,0.9189469703493777,100,18,42
baseline,AutoTheta,robust,507.10379685839655,596.2218695352375,13.966888481143304,0.9156463532071883,100,18,42
baseline,AutoTheta,standard,505.1760184387671,594.5728392170577,13.937542102537709,0.9156244553234967,100,18,42
baseline,Naive,none,602.1557786297373,688.3343917500179,13.310672705735023,1.1531440835104294,100,18,42
baseline,Naive,quantile,602.1557786297373,688.3343917500176,13.310672705735023,1.1531440835104294,100,18,42
baseline,Naive,robust,602.1557786297373,688.3343917500176,13.310672705735023,1.1531440835104294,100,18,42
baseline,Naive,standard,602.1557786297373,688.3343917500179,13.310672705735023,1.1531440835104294,100,18,42
baseline,SeasonalNaive,none,587.8753876526239,700.5467859353716,14.47289237140064,1.1234476839676015,100,18,42
baseline,SeasonalNaive,quantile,587.8753876526239,700.5467859353716,14.47289237140064,1.1234476839676015,100,18,42
baseline,SeasonalNaive,robust,587.8753876526239,700.5467859353716,14.47289237140064,1.1234476839676015,100,18,42
baseline,SeasonalNaive,standard,587.8753876526239,700.5467859353716,14.47289237140064,1.1234476839676015,100,18,42
neural_global,PatchTST,none,3925.646215888295,3971.0404235159986,199.63443353825352,19.508084393560292,100,18,42
neural_global,PatchTST,quantile,523.6666179626759,622.0464432010896,12.795187726066885,1.06574323818218,100,18,42
neural_global,PatchTST,robust,506.6364367998849,597.1435528600326,12.43055403053723,1.0437521132947214,100,18,42
neural_global,PatchTST,standard,522.540248134759,615.554141766523,12.41914886654629,1.013512705510837,100,18,42
tree_global,CatBoost,none,514.6165812514092,600.9780943812468,12.76119031081841,1.113340480896845,100,18,42
tree_global,CatBoost,quantile,561.7072316204341,665.5721692523813,13.536988238276281,1.0667680800288173,100,18,42
tree_global,CatBoost,robust,529.2983246109045,623.503997239748,13.112836578690679,0.9997665316267983,100,18,42
tree_global,CatBoost,standard,502.21366928402676,599.6422704491911,11.888189711620441,0.9404053628731325,100,18,42
